Library,Anchor,R2
Gemcitabine,AZD7762,0.39581090286574283
AZD8055,Pictilisib,0.3957355271084839
KU-55933,MK-1775,0.3953265007735802
Linsitinib,Trametinib,0.39524971266248
Ruxolitinib,MK-2206,0.39512776191423427
PF-4708671,Luminespib,0.39483932333752236
Crizotinib,Lapatinib,0.3946252672297029
Vorinostat,5-Fluorouracil,0.3945932288128795
MK-2206,Taselisib,0.3939843066169898
LGK974,Palbociclib,0.3938057335167847
Camptothecin,AZD4547,0.3929881050392007
Dactolisib,Irinotecan,0.39297467591562263
Palbociclib,SB505124,0.3928620890214065
AZD8055,Palbociclib,0.39273557694548633
Lapatinib,Luminespib,0.3927220878261092
Wee1 Inhibitor,Bortezomib,0.3924830923594743
AZD8055,Axitinib,0.39244151359582813
MK-2206,Luminespib,0.3918436066763282
LGK974,Oxaliplatin,0.3915176481726035
Vinorelbine,AZD4547,0.3912116292336527
LGK974,Crizotinib,0.39055431608844204
Axitinib,Vorinostat,0.3896342871556183
BI-2536,5-Fluorouracil,0.3895127497813359
Cisplatin,Vorinostat,0.3892844557274314
Crizotinib,Erlotinib,0.3886195007010581
SB505124,Taselisib,0.3881027694003394
Trametinib,Docetaxel,0.3871805558556627
5-Fluorouracil,Docetaxel,0.38677709034094043
Vinorelbine,Navitoclax,0.3866366607538554
Nutlin-3a (-),Afatinib,0.38653973135029496
BMS-754807,Navitoclax,0.38628188536137875
Sorafenib,Olaparib,0.3860345291897147
Erlotinib,Linsitinib,0.38587245846297535
Alisertib,Olaparib,0.38542571277378856
Venetoclax,Docetaxel,0.3852823934810007
MK-1775,Gemcitabine,0.3852143770242604
AZD7762,AZD4547,0.38507144204772326
Doramapimod,Crizotinib,0.3843701787973288
Alisertib,5-Fluorouracil,0.38399129481598815
Linsitinib,Docetaxel,0.3838985648400177
Docetaxel,Vorinostat,0.38383699095968604
NU7441,Luminespib,0.38373533298701623
Alpelisib,Linsitinib,0.3835878850564095
Temozolomide,OSI-027,0.383555245201872
Ribociclib,Navitoclax,0.38335048948645545
Vinorelbine,MK-1775,0.3831700093376309
Alpelisib,Nutlin-3a (-),0.3831590006380783
Lapatinib,Paclitaxel,0.3827581399516642
Lapatinib,Irinotecan,0.3827565758470135
MK-2206,Dactolisib,0.382693226769131
OSI-027,Navitoclax,0.38266520855255115
Crizotinib,Afatinib,0.3823516228369893
Gemcitabine,Linsitinib,0.3818995741632838
Entinostat,Axitinib,0.3818835068738158
Cisplatin,Bortezomib,0.38179792369681165
Wee1 Inhibitor,Cisplatin,0.38157503759916656
Ribociclib,Vorinostat,0.3812501166104718
JQ1,Navitoclax,0.38005010624784297
Nilotinib,Temozolomide,0.3799288207573859
Axitinib,MK-2206,0.3799233574646753
Nutlin-3a (-),Lapatinib,0.3798671165212365
PF-4708671,Lapatinib,0.3798052828074685
Olaparib,Oxaliplatin,0.37951699010914086
Sorafenib,Trametinib,0.37880232688129145
Crizotinib,SCH772984,0.37879555515370367
PF-4708671,Palbociclib,0.3787592454697648
Alisertib,Nutlin-3a (-),0.3782148538201562
GSK269962A,Cisplatin,0.37796470231689316
Oxaliplatin,LGK974,0.37795391209234364
Doramapimod,Lapatinib,0.37791491941773037
Erlotinib,Sorafenib,0.37789274584290866
Dasatinib,Taselisib,0.3776721513099399
Cisplatin,Temozolomide,0.3776673653267508
Erlotinib,MK-2206,0.3765456186790793
Navitoclax,5-Fluorouracil,0.37646936908266926
Wee1 Inhibitor,PD173074,0.37616816079930904
Lapatinib,Docetaxel,0.3758865946653771
AZD7762,Nutlin-3a (-),0.3758832957878018
JQ1,Linsitinib,0.3758460832814151
Palbociclib,Afatinib,0.3748321260442887
JQ1,OSI-027,0.3748210208898476
AZD8055,MK-1775,0.37461726981362486
Taselisib,MK-2206,0.3746114586733825
Nutlin-3a (-),Gemcitabine,0.3745245991326467
Luminespib,Lapatinib,0.37441977570953355
Trametinib,OSI-027,0.3743522150995947
PF-4708671,5-Fluorouracil,0.3743390095382487
GSK269962A,Linsitinib,0.3742708325281271
Venetoclax,Gemcitabine,0.37397473001007975
Lapatinib,AZD7762,0.37384435440833697
JQ1,Vorinostat,0.3736620278787012
MK-1775,Cisplatin,0.3734092308426331
Vinorelbine,5-Fluorouracil,0.3729811621050865
Doramapimod,PD173074,0.3727228807363572
Camptothecin,Trametinib,0.3725024843216488
SCH772984,Sorafenib,0.3724885585985841
Alisertib,Taselisib,0.3723828187564161
Paclitaxel,Temozolomide,0.37236148877077424
LGK974,5-Fluorouracil,0.372257397432635
Crizotinib,Camptothecin,0.3721114341846663
Erlotinib,Trametinib,0.37210371411616383
Wee1 Inhibitor,OSI-027,0.3719053661108771
Dasatinib,Palbociclib,0.3718338922410437
5-Fluorouracil,Sorafenib,0.37173551474202704
Doramapimod,Linsitinib,0.3716832386661184
RO-3306,Trametinib,0.3716318031540974
Irinotecan,Oxaliplatin,0.3714571307781832
SCH772984,Axitinib,0.37109728429651967
Vinorelbine,BMS-754807,0.37062356733720214
Erlotinib,AZD7762,0.3702940920331482
SCH772984,Navitoclax,0.3701684130512437
Sorafenib,Dactolisib,0.3698487642999655
Axitinib,Gemcitabine,0.36979478615916417
SCH772984,Ruxolitinib,0.36953970699510774
Taselisib,Afatinib,0.36952714793552277
5-Fluorouracil,Ruxolitinib,0.3691759068353945
Olaparib,AZD4547,0.36915292136124345
PD173074,Olaparib,0.3690065238596403
BI-2536,Cisplatin,0.36899475080793687
Navitoclax,Gemcitabine,0.36885380439177917
Axitinib,Crizotinib,0.3683463443558055
5-Fluorouracil,Afatinib,0.368320032260952
MK-1775,Trametinib,0.36830746484549537
Afatinib,AZD4547,0.36816844873850896
Sorafenib,Gemcitabine,0.36796246525727727
Docetaxel,Linsitinib,0.36783445466968767
Olaparib,Bortezomib,0.36779724040962336
Crizotinib,Docetaxel,0.36767080478761227
Sorafenib,AZD7762,0.367291691151197
MK-2206,Vorinostat,0.3670262734205809
Erlotinib,SCH772984,0.36693227651864235
Vinorelbine,Olaparib,0.366628189947906
Docetaxel,Navitoclax,0.366372511499504
Olaparib,MK-2206,0.36629338034538006
5-Fluorouracil,Dactolisib,0.36572444906787327
Crizotinib,Dabrafenib,0.3655615221935016
MK-2206,Dasatinib,0.36501687313878395
Erlotinib,Gemcitabine,0.3649340038931579
JQ1,MK-1775,0.3640262625967181
MK-1775,LGK974,0.36395302833595233
GSK269962A,Navitoclax,0.36358424970838044
Docetaxel,Pictilisib,0.36327565357665015
RO-3306,MK-1775,0.36322550814199084
Crizotinib,Temozolomide,0.36305192059774394
Bortezomib,Pictilisib,0.36283019674543926
Irinotecan,Lapatinib,0.36190085577160613
Vinorelbine,Dabrafenib,0.36183593783034007
Tozasertib,Vorinostat,0.3618289810617116
KU-55933,Bortezomib,0.3615163592884496
Alpelisib,Palbociclib,0.360952186755525
Camptothecin,Navitoclax,0.36085228167852823
Paclitaxel,Taselisib,0.36025997426008294
MK-1775,Navitoclax,0.3598711799036557
SB505124,Dabrafenib,0.3595139937607925
AZD7762,BMS-754807,0.3593767234772287
AZD7762,SCH772984,0.3593400898716763
Cisplatin,PD173074,0.35917387986435634
5-Fluorouracil,PD173074,0.3590246837765598
Nutlin-3a (-),Camptothecin,0.3589100312274466
Navitoclax,Linsitinib,0.3587775325694956
Nutlin-3a (-),Navitoclax,0.3583425811839772
NU7441,Lapatinib,0.358108960072653
PF-4708671,Gemcitabine,0.35805743595846407
Taselisib,Bortezomib,0.35785412602547106
AZD7762,Olaparib,0.35759318490965075
5-Fluorouracil,AZD4547,0.3571624958522006
Axitinib,MK-1775,0.3570322762027881
Pictilisib,MK-1775,0.35700110571710897
AZD8055,Vorinostat,0.35697716546459723
Crizotinib,Palbociclib,0.3568377400675308
Ruxolitinib,Trametinib,0.35657667733889187
Ribociclib,Luminespib,0.35513982257099375
AZD4547,5-Fluorouracil,0.35501667666230696
SCH772984,MK-1775,0.3547882751909184
Linsitinib,Cisplatin,0.35437675837097893
AZD6482,AZD7762,0.3543023990724057
Axitinib,Lapatinib,0.3542258017166635
Palbociclib,Temozolomide,0.35407445088041634
MK-2206,Irinotecan,0.35398750338534535
GSK269962A,Lapatinib,0.3537282943025004
Docetaxel,MK-2206,0.35364043063749495
ZM447439,AZD7762,0.35242919367204184
AZD6482,Trametinib,0.3520871372101224
5-Fluorouracil,Vinorelbine,0.3519690461709548
ZM447439,Crizotinib,0.3517498057968209
Olaparib,Dabrafenib,0.3514832598424059
Dabrafenib,Oxaliplatin,0.35120180286585956
Gemcitabine,5-Fluorouracil,0.351067069616702
Lapatinib,Navitoclax,0.3507667313700309
Afatinib,Trametinib,0.3507574944094256
5-Fluorouracil,LGK974,0.35063308750872124
Trametinib,Cisplatin,0.3502072655651881
Alpelisib,Pictilisib,0.3501156931121636
Navitoclax,MK-1775,0.3497642037119689
SB505124,AZD8055,0.34970909939833517
Palbociclib,Gemcitabine,0.349591758181957
Gemcitabine,Vorinostat,0.3493338670553262
Trametinib,Gemcitabine,0.34920339084233354
Pictilisib,Trametinib,0.3489181406985029
Trametinib,Palbociclib,0.34844178399281245
Alisertib,OSI-027,0.3482524000100087
Lapatinib,MK-1775,0.34819392822399753
Palbociclib,Luminespib,0.3477914537397727
LGK974,Dactolisib,0.3476547307994218
Trametinib,Nutlin-3a (-),0.3473918243731654
Camptothecin,Vinorelbine,0.34727014664843114
Palbociclib,PD173074,0.3472263720554861
RO-3306,Linsitinib,0.34659323977921375
Vorinostat,Palbociclib,0.3465606497311132
Dactolisib,Dasatinib,0.34650782911102185
Ribociclib,Nutlin-3a (-),0.3464029232899639
Dabrafenib,5-Fluorouracil,0.34553452570636634
ZM447439,Luminespib,0.3450416151208908
Oxaliplatin,Taselisib,0.3449845736470125
Nutlin-3a (-),MK-2206,0.3447106650532791
Uprosertib,Pictilisib,0.34465139184115423
Gemcitabine,Pictilisib,0.34420623552672935
BI-2536,Bortezomib,0.3440733613694583
Vorinostat,Linsitinib,0.3439508010350194
Afatinib,AZD8055,0.34293367197220836
Linsitinib,Irinotecan,0.34284938120144537
Cisplatin,Pictilisib,0.342791787005707
Navitoclax,Crizotinib,0.3425710631348431
Doramapimod,Cisplatin,0.34219652509792575
AZD8055,OSI-027,0.34133239759554956
Vinorelbine,Crizotinib,0.3412034913914982
Camptothecin,Linsitinib,0.34063206712645644
Pictilisib,Nutlin-3a (-),0.33988920713124604
Oxaliplatin,Dactolisib,0.33962933810985985
AZD4547,Camptothecin,0.3394635027032411
MK-2206,Oxaliplatin,0.3393910368870571
Luminespib,Cisplatin,0.3391406489385129
Wee1 Inhibitor,Lapatinib,0.33899260358585526
Oxaliplatin,Sorafenib,0.3389618726121183
Paclitaxel,Navitoclax,0.338844931109315
AZD7762,Cisplatin,0.33860638556258704
SB505124,Trametinib,0.3381306048524494
Ribociclib,Pictilisib,0.3379912877281184
Wee1 Inhibitor,Navitoclax,0.33794241513889645
Navitoclax,AZD4547,0.3376153628137686
Dabrafenib,Camptothecin,0.3375706026694796
MK-1775,AZD8055,0.33749994080148427
AZD8055,Lapatinib,0.3373745030426355
Ruxolitinib,Gemcitabine,0.33700291115303416
RO-3306,Palbociclib,0.3364589595586345
Crizotinib,Nutlin-3a (-),0.33607609152787066
JQ1,MK-2206,0.3359247796464875
Navitoclax,OSI-027,0.33561016431854174
Alisertib,Linsitinib,0.3350479346291668
Taselisib,Luminespib,0.3347124238619066
JQ1,Lapatinib,0.33455493314394136
Crizotinib,MK-1775,0.33414837312868784
Navitoclax,MK-2206,0.33400432919064005
OSI-027,Erlotinib,0.3339658495130591
NU7441,Trametinib,0.3336501978670051
Palbociclib,Vinorelbine,0.3332347221539328
Vorinostat,Cisplatin,0.3331709791951053
Entinostat,Cisplatin,0.33297544426175385
Navitoclax,Trametinib,0.33296143960922875
Gemcitabine,OSI-027,0.33249083540527247
MK-1775,SCH772984,0.332366056262114
Ribociclib,MK-1775,0.3314696566432256
Vorinostat,Temozolomide,0.331429187188384
Tozasertib,Bortezomib,0.33137027457666035
Navitoclax,Vorinostat,0.33130045751126647
RO-3306,Pictilisib,0.33110495381917204
Axitinib,OSI-027,0.3307005403977876
Oxaliplatin,AZD8055,0.3304936576182226
MK-2206,Navitoclax,0.33009422741985395
AZD8055,PD173074,0.3300182478175554
Sorafenib,Docetaxel,0.3294165730931382
MK-1775,Pictilisib,0.32902058003355594
Taselisib,5-Fluorouracil,0.3288976877693075
PD173074,Docetaxel,0.3288510353873362
Alpelisib,Taselisib,0.32875906576337277
Sorafenib,SCH772984,0.3283440971647942
Camptothecin,Vorinostat,0.3282799896849502
Ribociclib,Lapatinib,0.32755992838382475
Docetaxel,5-Fluorouracil,0.3274644039780862
Irinotecan,Dasatinib,0.32746221819529664
AZD6482,Axitinib,0.32722495501570203
NU7441,Docetaxel,0.32683646271601585
Navitoclax,Docetaxel,0.3264881382771486
Nutlin-3a (-),SB505124,0.3263880583939228
Doramapimod,MK-2206,0.3260030630359797
AZD6482,Gemcitabine,0.32547903280822676
Lapatinib,Bortezomib,0.3253513302482802
Vorinostat,Gemcitabine,0.32524035380630045
5-Fluorouracil,AZD8055,0.32508131231770576
OSI-027,Vorinostat,0.3247417545042466
Linsitinib,Dactolisib,0.32459543848030503
AZD4547,Taselisib,0.32439260529635405
Nilotinib,Docetaxel,0.3240475455106806
PF-4708671,Axitinib,0.3236420942745767
Olaparib,Nutlin-3a (-),0.32345530770922337
Bortezomib,Lapatinib,0.32327458886552274
Camptothecin,Bortezomib,0.32308900693020826
Gemcitabine,Navitoclax,0.3230633194964422
Navitoclax,Palbociclib,0.32305997258038055
Gemcitabine,Erlotinib,0.32301741258860106
Palbociclib,Camptothecin,0.3229350665541435
OSI-027,MK-1775,0.3228816680358373
Linsitinib,Vinorelbine,0.32287547691828533
Doramapimod,Olaparib,0.3225734226921656
Paclitaxel,Cisplatin,0.32245610605586406
Paclitaxel,LGK974,0.32204691184351697
Palbociclib,Dactolisib,0.32139885272286395
Dasatinib,Lapatinib,0.3213828233660492
Tozasertib,Nutlin-3a (-),0.3207994060251561
Taselisib,Oxaliplatin,0.3199664514818007
Sorafenib,Pictilisib,0.31994260628951776
Olaparib,Docetaxel,0.31991775966469405
Irinotecan,Olaparib,0.31982734079794173
Olaparib,5-Fluorouracil,0.3197720248325123
Gemcitabine,Trametinib,0.3196141755792947
RO-3306,PD173074,0.31958202184403794
Venetoclax,Navitoclax,0.31952857015770264
Paclitaxel,MK-2206,0.31891766309019287
Dactolisib,Gemcitabine,0.31880263649058826
Navitoclax,AZD8055,0.3186550342158003
NU7441,Temozolomide,0.31860919418375977
Palbociclib,Dasatinib,0.3173590444623654
Vinorelbine,AZD7762,0.3172596972369456
Entinostat,Gemcitabine,0.31714568167631907
Cisplatin,OSI-027,0.31652786236713715
Ribociclib,Temozolomide,0.316443273236242
AZD7762,Camptothecin,0.31602463000710146
Dactolisib,Crizotinib,0.3160152472429253
Trametinib,Navitoclax,0.31574873799635594
JQ1,Taselisib,0.31545531252978254
Ruxolitinib,Lapatinib,0.31540209437802813
Trametinib,5-Fluorouracil,0.315330251433536
PF-4708671,MK-1775,0.31513693675064425
Luminespib,MK-2206,0.3145474808987585
Linsitinib,LGK974,0.31426269385930305
Olaparib,AZD7762,0.3140328380445503
Doramapimod,Docetaxel,0.31392264555718496
Docetaxel,MK-1775,0.31373917700330034
Olaparib,Gemcitabine,0.3136731268995625
AZD6482,Taselisib,0.31348117035524803
AZD6482,Cisplatin,0.31333376921927614
Wee1 Inhibitor,MK-2206,0.3132152541361871
Wee1 Inhibitor,Crizotinib,0.3131367491514535
Pictilisib,PD173074,0.31279741766261604
Bortezomib,MK-1775,0.31272628364842614
SCH772984,BMS-754807,0.31255305774938913
Tozasertib,Palbociclib,0.3124436851657406
Linsitinib,Temozolomide,0.3116218726983373
Olaparib,Trametinib,0.311231525501358
Erlotinib,Palbociclib,0.311112516784393
Axitinib,Luminespib,0.31110180614080185
Entinostat,Bortezomib,0.3106610953582133
Alpelisib,Gemcitabine,0.3106269369908442
Dactolisib,LGK974,0.31047580650167894
Crizotinib,AZD8055,0.3102330441798137
Olaparib,Vinorelbine,0.30993655488000027
Trametinib,MK-1775,0.30991557219737276
Bortezomib,OSI-027,0.3097959236782628
SB505124,Vinorelbine,0.3092990400672804
GSK269962A,Crizotinib,0.3091589238653063
Tozasertib,MK-1775,0.30874581103081933
LGK974,Afatinib,0.308619146440302
PD173074,Trametinib,0.3078651675299374
Cisplatin,Oxaliplatin,0.307796969438874
Docetaxel,PD173074,0.3077857318971743
Taselisib,Vorinostat,0.30761078266178365
BI-2536,Vorinostat,0.30756753367427636
Navitoclax,LGK974,0.30748243046691603
AZD4547,Trametinib,0.3070543316848281
Taselisib,Camptothecin,0.30701679707022433
OSI-027,Luminespib,0.30699099399264074
Venetoclax,Olaparib,0.3069754582099765
GSK269962A,Temozolomide,0.30693015154790615
AZD8055,Bortezomib,0.3068981158571934
Cisplatin,Ruxolitinib,0.30675557819543886
Bortezomib,Docetaxel,0.3064355112521152
Paclitaxel,Erlotinib,0.3063412328789431
SCH772984,Docetaxel,0.3061465051152069
Linsitinib,AZD7762,0.30602719550664004
Linsitinib,Vorinostat,0.30569437305596825
Nilotinib,MK-2206,0.3055763948663718
GSK269962A,5-Fluorouracil,0.3054512387829543
Camptothecin,Cisplatin,0.30471526284640127
MK-1775,Taselisib,0.30398834197455205
Nilotinib,Olaparib,0.3038470815785351
AZD4547,Oxaliplatin,0.3038468543985835
BI-2536,Taselisib,0.30352884803294455
Ruxolitinib,Crizotinib,0.30348497037513456
Dabrafenib,Lapatinib,0.3033438008609519
Pictilisib,Axitinib,0.30323872500290827
Lapatinib,Vorinostat,0.3031586853941778
Doramapimod,AZD7762,0.3030813034558453
Taselisib,Dabrafenib,0.3030740008035635
Alpelisib,Navitoclax,0.3027720801713588
Palbociclib,Oxaliplatin,0.30165912328987965
JQ1,Bortezomib,0.3015333252820479
Lapatinib,Trametinib,0.30150266760313615
Lapatinib,Axitinib,0.30083201704861007
Linsitinib,Sorafenib,0.30013527611435953
PD173074,5-Fluorouracil,0.29983220920213194
Tozasertib,Trametinib,0.2997259578006414
Afatinib,Luminespib,0.2995391481599059
Trametinib,AZD8055,0.2993040029572306
Trametinib,Ruxolitinib,0.2987853731476894
Nutlin-3a (-),Trametinib,0.29857582257360904
5-Fluorouracil,Lapatinib,0.29829378398047557
Alisertib,Palbociclib,0.2981662786557978
LGK974,Nutlin-3a (-),0.29804134875555977
Docetaxel,Taselisib,0.29770467622817665
Vorinostat,Olaparib,0.2970453337806809
Bortezomib,Nutlin-3a (-),0.29680397296374406
MK-1775,Afatinib,0.29658068683607475
Gemcitabine,MK-1775,0.2964014661539559
Palbociclib,Taselisib,0.29634904160222153
Gemcitabine,Nutlin-3a (-),0.2963269878468512
Camptothecin,SB505124,0.29597592074081447
Vinorelbine,Linsitinib,0.2959230011805952
Paclitaxel,Dasatinib,0.29555191853238916
Olaparib,Luminespib,0.2955232658852367
LGK974,Erlotinib,0.2954820165081603
Oxaliplatin,Olaparib,0.2951252326483238
Trametinib,LGK974,0.29470325826046206
Tozasertib,Luminespib,0.2943946465031535
OSI-027,Ruxolitinib,0.29417575103997806
AZD8055,LGK974,0.2941540729574176
Camptothecin,LGK974,0.2935413500027948
Oxaliplatin,Afatinib,0.29328684163042396
BMS-754807,Olaparib,0.29321581276259023
MK-1775,Dasatinib,0.29320857409974144
Bortezomib,Olaparib,0.2925208462486628
Entinostat,Taselisib,0.2921588110214074
Olaparib,LGK974,0.29211030192978604
Wee1 Inhibitor,Axitinib,0.29192710653958864
Paclitaxel,Trametinib,0.29192242293492143
Luminespib,MK-1775,0.2918871203478618
LGK974,MK-2206,0.291798629232102
AZD4547,BMS-754807,0.29169709035193614
KU-55933,OSI-027,0.2916326986327591
Ribociclib,AZD7762,0.2914851547230388
Uprosertib,Taselisib,0.29137338369985666
RO-3306,5-Fluorouracil,0.29058631909439236
MK-1775,AZD7762,0.29012838793825324
Luminespib,Gemcitabine,0.28978144580965437
Alpelisib,Crizotinib,0.2897691108864151
5-Fluorouracil,Irinotecan,0.289692905212271
LGK974,SCH772984,0.28958483510928823
5-Fluorouracil,OSI-027,0.28946868114285473
AZD7762,Ruxolitinib,0.28924366428259995
Camptothecin,MK-1775,0.28878276121270474
Dabrafenib,SCH772984,0.2886483322872885
AZD4547,Nutlin-3a (-),0.2884936640829583
Nilotinib,Vorinostat,0.2884297968191124
Uprosertib,PD173074,0.2881765301014365
Oxaliplatin,Irinotecan,0.2881338155361389
Alisertib,MK-2206,0.2878893671023295
Venetoclax,Taselisib,0.28717551190055646
Venetoclax,OSI-027,0.2868690661554103
SB505124,Afatinib,0.28654015581461423
Wee1 Inhibitor,Olaparib,0.2864090763820455
MK-2206,Gemcitabine,0.2862362532106224
Temozolomide,AZD7762,0.286179161195256
Entinostat,Nutlin-3a (-),0.28617876257306607
Taselisib,Dasatinib,0.2860443082484563
AZD4547,SCH772984,0.2858176240179158
Sorafenib,Linsitinib,0.28521211335949737
Entinostat,Temozolomide,0.2851347112690369
Docetaxel,Nutlin-3a (-),0.28485705396067407
Crizotinib,OSI-027,0.28479393933017516
Linsitinib,Olaparib,0.28442042560438063
SB505124,AZD7762,0.2844160243752646
Nutlin-3a (-),Bortezomib,0.2844041988602307
Afatinib,LGK974,0.28414960331284755
Gemcitabine,Taselisib,0.2837761894728128
AZD4547,Afatinib,0.2837478264141978
Entinostat,Palbociclib,0.2837466717658559
Ribociclib,Olaparib,0.2836263128102343
Pictilisib,Bortezomib,0.28302871033569943
Dabrafenib,Luminespib,0.2826119069567259
LGK974,Ruxolitinib,0.2819651866881637
Gemcitabine,Lapatinib,0.28181233371521763
Doramapimod,Temozolomide,0.2816535789590452
Vinorelbine,Afatinib,0.2814597188401037
Vinorelbine,Trametinib,0.2812409430490608
AZD8055,5-Fluorouracil,0.28072878872161555
KU-55933,Axitinib,0.280634053022798
AZD6482,Temozolomide,0.2797769590778514
PD173074,Temozolomide,0.2794777306569465
Linsitinib,Dabrafenib,0.2794737803537778
Tozasertib,OSI-027,0.2794274780447956
Nutlin-3a (-),OSI-027,0.2792838433759842
JQ1,Docetaxel,0.27908220953080953
Palbociclib,Linsitinib,0.2789110899510915
Afatinib,Navitoclax,0.27872054582271466
Doramapimod,Axitinib,0.27843386220818633
BMS-754807,Dabrafenib,0.2782128972680279
AZD4547,Vinorelbine,0.27818078411321157
Venetoclax,5-Fluorouracil,0.27803638060817804
Navitoclax,Bortezomib,0.27803086263045806
Dabrafenib,AZD7762,0.27794586991620174
Gemcitabine,MK-2206,0.27793247177826486
Taselisib,Navitoclax,0.2778592063208417
Oxaliplatin,Cisplatin,0.27754781072253254
BI-2536,Luminespib,0.27739443405690045
Alisertib,MK-1775,0.2773649929659011
Wee1 Inhibitor,Temozolomide,0.27715846798100496
AZD7762,Dactolisib,0.2765593136673784
Dabrafenib,LGK974,0.2764601019740368
Temozolomide,Lapatinib,0.27566314424479543
Alpelisib,Vorinostat,0.2754272608005952
Trametinib,AZD7762,0.27540028574799946
Trametinib,Lapatinib,0.2753376296506639
BI-2536,Axitinib,0.27521109215303763
Entinostat,MK-2206,0.27500340622336017
BI-2536,Gemcitabine,0.27473063469580283
Axitinib,Palbociclib,0.27460164624284544
Erlotinib,Irinotecan,0.2743260729973256
SB505124,Oxaliplatin,0.27420869743357235
Crizotinib,5-Fluorouracil,0.2740102799206924
Ribociclib,Cisplatin,0.2739901219277957
Venetoclax,Palbociclib,0.27361451751810784
SCH772984,AZD7762,0.2735994702279463
MK-2206,LGK974,0.2734862920514347
Tozasertib,Temozolomide,0.2730276025927748
AZD8055,Nutlin-3a (-),0.2729894877196042
SB505124,MK-1775,0.272938076678232
Alpelisib,AZD7762,0.272710386029279
JQ1,Trametinib,0.2725158584959758
KU-55933,Pictilisib,0.2723418028062664
RO-3306,OSI-027,0.2721252164230533
BMS-754807,Oxaliplatin,0.2718519346560899
Uprosertib,MK-2206,0.271176690482413
Dasatinib,Olaparib,0.2709302037625504
AZD6482,MK-1775,0.2708554130741898
Linsitinib,Nutlin-3a (-),0.2707908668980298
GSK269962A,OSI-027,0.2706608257711992
Pictilisib,Vorinostat,0.27043618286999427
Afatinib,Olaparib,0.27027654343999563
Olaparib,AZD8055,0.27023110170370246
Wee1 Inhibitor,Taselisib,0.26954756090502574
Temozolomide,Trametinib,0.26938394942324895
Olaparib,Taselisib,0.2691733356291828
Axitinib,AZD7762,0.26905096415270346
Dactolisib,Lapatinib,0.26848216702267125
Wee1 Inhibitor,Linsitinib,0.26826240680678115
Olaparib,MK-1775,0.26712676102303756
PF-4708671,OSI-027,0.2670818592744425
Vorinostat,PD173074,0.2666651502296551
PD173074,Crizotinib,0.26657021205471765
KU-55933,Vorinostat,0.26647026662601403
PD173074,AZD7762,0.2663062705998137
Nutlin-3a (-),Taselisib,0.26624924350226087
Crizotinib,AZD4547,0.2662407583315236
Irinotecan,Trametinib,0.2661731036347261
Navitoclax,Dabrafenib,0.2657863976126912
Doramapimod,Pictilisib,0.26564048191515754
LGK974,SB505124,0.2652679079061323
Crizotinib,Olaparib,0.26520959706781577
MK-2206,Paclitaxel,0.26520122344836194
LGK974,Olaparib,0.2650673197329675
AZD7762,Lapatinib,0.26432632297982295
AZD4547,Palbociclib,0.26414780405019644
Olaparib,Paclitaxel,0.2640179544060668
5-Fluorouracil,Pictilisib,0.26364191022038264
KU-55933,Crizotinib,0.2635503050856194
Trametinib,SCH772984,0.2632245960569801
Nutlin-3a (-),Cisplatin,0.2631240390674813
SCH772984,Luminespib,0.2631007448787409
Pictilisib,Olaparib,0.2629000322152216
Wee1 Inhibitor,Vorinostat,0.2628194302756556
Crizotinib,Irinotecan,0.2627864140125248
Oxaliplatin,BMS-754807,0.26216108121123427
Erlotinib,Oxaliplatin,0.2618920972855099
Irinotecan,Erlotinib,0.26167882514368557
MK-1775,Olaparib,0.2615076190742722
OSI-027,Palbociclib,0.2613673826950289
Cisplatin,Paclitaxel,0.26089115215351966
Alpelisib,Luminespib,0.2605637821810972
Olaparib,Linsitinib,0.26028675063434425
Doramapimod,Taselisib,0.2602673189869681
SCH772984,Dasatinib,0.2602659170101105
Olaparib,Pictilisib,0.260175471179531
Paclitaxel,Bortezomib,0.259989574480772
Nilotinib,Cisplatin,0.2593253996028946
Nutlin-3a (-),Olaparib,0.25921324200690754
Crizotinib,Linsitinib,0.2590150384525052
Temozolomide,Luminespib,0.2589810943782912
Crizotinib,LGK974,0.25870029075381995
Gemcitabine,Oxaliplatin,0.25859237536895074
Sorafenib,5-Fluorouracil,0.2583823651029129
Trametinib,Dasatinib,0.258096544125089
SCH772984,Paclitaxel,0.25778132682113475
Trametinib,Temozolomide,0.2577195118256491
MK-1775,Temozolomide,0.2576250149532402
Entinostat,OSI-027,0.2574447965649771
GSK269962A,Docetaxel,0.2573914289005006
Venetoclax,Temozolomide,0.2573045780846246
Afatinib,Axitinib,0.2572258103716266
Dactolisib,Trametinib,0.25686719639758104
PD173074,OSI-027,0.2568658791322901
Sorafenib,Palbociclib,0.2566223473244522
Erlotinib,Navitoclax,0.2561471466747953
KU-55933,Palbociclib,0.25586787536271516
Ruxolitinib,5-Fluorouracil,0.25577802597319244
SCH772984,Vorinostat,0.25566223207014904
Venetoclax,Lapatinib,0.2555225641228316
Luminespib,Temozolomide,0.2552362493761513
MK-1775,OSI-027,0.2551412746849777
Dabrafenib,Trametinib,0.25466509267420867
Dabrafenib,Axitinib,0.25459025691183745
Afatinib,OSI-027,0.2545561109029907
Bortezomib,MK-2206,0.25447057711248844
Dabrafenib,Palbociclib,0.25419068445896875
Venetoclax,MK-2206,0.2540952787045998
Venetoclax,Trametinib,0.25402343549694506
AZD4547,Dabrafenib,0.25397961071115316
